Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
3640000,24,Torino,Serie A,CRO,Forward,208,39,17500
3640000,21,Aston Villa,Premier League,ENG,Midfilder,69,0,52753
3640000,35,Crystal Palace,Premier League,ESP,Goalkeeper,385,0,9454
3640000,27,Aston Villa,Premier League,SCO,Midfilder,331,48,10996
3640000,26,Leicester,Premier League,BEL,Defender,215,24,16930
3640000,33,Southampton,Premier League,ENG,Midfilder,401,47,9077
3640000,29,West Ham,Premier League,ARG,Midfilder,310,5,11741
3640000,33,Everton,Premier League,IRL,Defender,373,65,9758
3640000,23,Liverpool,Premier League,FRA,Defender,89,2,40898
3640000,31,Crystal Palace,Premier League,ENG,Defender,343,14,10612
3640000,24,Aston Villa,Premier League,ENG,Defender,209,0,17416
3640000,29,Everton,Premier League,ENG,Defender,306,12,11895
3640000,32,West Ham,Premier League,JAM,Midfilder,413,6,8813
3640000,29,Aston Villa,Premier League,ENG,Defender,211,17,17251
3640000,29,Southampton,Premier League,CRO,Midfilder,366,19,9945
3586000,26,RB Leipzig,Bundesliga,POR,Forward,272,51,13183
3509000,28,Spezia,Serie A,ITA,Defender,159,2,22069
3509000,29,Parthenope,Serie A,ITA,Forward,332,7,10569
3484000,34,Brighton,Premier League,ENG,Midfilder,427,34,8159
3476000,25,PSG,Ligue 1 Uber Eats,POR,Midfilder,177,32,19638
3449000,21,Milan,Serie A,USA,Defender,92,17,37489
3448000,24,RB Leipzig,Bundesliga,ESP,Midfilder,175,24,19702
3448000,24,Getafe,La Liga,ESP,Midfilder,170,0,20282
3448000,28,Mallorca,La Liga,KOS,Forward,275,42,12538
3448000,24,Nottm Forest,Premier League,BRA,Defender,119,15,28974
3439000,28,VfL Wolfsburg,Bundesliga,GER,Midfilder,293,3,11737
3439000,22,VfL Wolfsburg,Bundesliga,FRA,Defender,92,0,37380
3439000,32,Hoffenheim,Bundesliga,GER,Defender,373,28,9219
3439000,32,Bayer 04,Bundesliga,FIN,Goalkeeper,384,78,8955
3439000,31,Hoffenheim,Bundesliga,DEN,Midfilder,311,69,11057
3439000,20,Sevilla,La Liga,FRA,Defender,33,0,104212
3439000,28,SV Werder,Bundesliga,GER,Forward,227,0,15149
3439000,27,Getafe,La Liga,MAR,Forward,203,11,16940
3439000,24,Borussia Dortmund,Bundesliga,TUR,Midfilder,166,5,20716
3439000,23,Borussia Dortmund,Bundesliga,NED,Forward,135,18,25474
3439000,23,Wolves,Premier League,BRA,Forward,139,7,24741
3439000,26,Borussia M'gladbach,Bundesliga,GER,Midfilder,260,6,13226
3439000,30,Borussia M'gladbach,Bundesliga,GER,Midfilder,283,14,12151
3439000,30,VfL Wolfsburg,Bundesliga,BEL,Goalkeeper,262,4,13125
3439000,31,Hoffenheim,Bundesliga,CRO,Forward,342,71,10055
3437000,30,RB Leipzig,Bundesliga,SWE,Midfilder,362,74,9494
3437000,26,Borussia Dortmund,Bundesliga,GER,Midfilder,172,2,19982
3432000,31,Brighton,Premier League,GER,Midfilder,385,0,8914
3404000,28,Juventus,Serie A,POL,Forward,262,62,12992
3380000,26,Liverpool,Premier League,GRE,Defender,128,22,26406
3380000,25,Leeds,Premier League,ESP,Midfilder,177,0,19096
3380000,21,Liverpool,Premier League,ENG,Midfilder,45,0,75111
3380000,29,Aston Villa,Premier League,ESP,Defender,322,0,10496
